Model,seed,n_sources,n_mixtures,n_samples,presumed_domain,SINR,SNRinp_target,SNRinp_measured,execution_time,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,700,5,7,100000,sparse,26.65660530778623,30.0,29.99904779216919,14.495158283010824,24.163843564606076,26.502250661260653,29.388263667399187,30.334301462744826,25.779006553359483
PredictiveDecorrBSS,700,5,8,100000,sparse,26.67587898316598,30.0,29.999206814002974,14.467094002990052,23.9434373441807,26.58643669794853,29.524903842614965,30.290749947709422,26.081485147147532
PredictiveDecorrBSS,700,5,9,100000,sparse,27.877082142805428,30.0,29.992136362399417,14.675411948002875,27.193114265854483,27.611030524736428,29.20032893260984,28.400406337615557,27.297257971578013
PredictiveDecorrBSS,700,5,10,100000,sparse,27.989448847413687,30.0,30.00566720702501,14.50835831600125,27.61722605911963,27.649263212227932,28.280175839428647,28.68329521696438,27.8178185033494
PredictiveDecorrBSS,700,5,11,100000,sparse,27.856516283185726,30.0,30.002458733858983,14.556758175982395,26.95749700594235,27.824470571783422,28.225539628503906,28.325905769081274,28.097740936090695
PredictiveDecorrBSS,700,5,12,100000,sparse,27.809867785144586,30.0,29.99484977755873,14.612591549026547,26.935715197889394,27.824451741970478,28.204640064766764,28.635187555272648,27.642719948290665
PredictiveDecorrBSS,700,5,13,100000,sparse,27.728419404787694,30.0,29.985996739416546,14.729699225979857,26.849638193855803,28.387586949497518,27.621510051883696,28.502972146952917,27.50190645844271
PredictiveDecorrBSS,800,5,7,100000,sparse,26.869703601687178,30.0,29.99458781502573,14.610344335989794,26.909759778069173,24.97227219925339,27.522508259299123,26.83076805669801,29.12979629887998
PredictiveDecorrBSS,800,5,8,100000,sparse,26.811538034235433,30.0,30.00411903141385,14.433803338004509,26.903476371074934,24.612928366252305,27.75686440559758,26.755988165006166,29.430062910478835
PredictiveDecorrBSS,800,5,9,100000,sparse,26.903092775372073,30.0,29.9931778494693,14.65104818699183,27.004962166158286,24.98887443761179,28.258828263853005,26.53841666634485,28.75771340395226
PredictiveDecorrBSS,800,5,10,100000,sparse,26.983059416806405,30.0,29.993140533879384,14.616714539995883,27.448308813588977,25.23917652391323,27.745069000323987,26.859974968865167,28.290926400140933
PredictiveDecorrBSS,800,5,11,100000,sparse,26.872717907509475,30.0,29.996771061016485,14.518315510998946,27.25327984354562,25.22371104296992,27.68531913051853,26.734600917474218,28.059554468936334
