Model,seed,rho,mixing_distribution,SINR,SNRinp_target,SNRinp_measured,execution_time,n_sources,n_mixtures,n_samples,presumed_domain,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,1500,0.0,laplace,26.447033141874826,30.0,30.005328940269873,8.68421212094836,5,10,100000,nnantisparse,31.673832389020045,27.045484679767362,24.830724960344874,24.215848235290856,27.97217961528494
PredictiveDecorrBSS,1600,0.0,laplace,22.42297228519221,30.0,29.985036632960114,8.71605498099234,5,10,100000,nnantisparse,24.05754663122665,21.55289993263974,18.364283653606847,28.412762097002968,27.653930827347523
PredictiveDecorrBSS,1700,0.0,laplace,26.171837903614215,30.0,30.0151174758375,8.679412840050645,5,10,100000,nnantisparse,25.595533331230843,26.004862119892135,25.66392528922083,26.354966442577734,27.502560476951903
PredictiveDecorrBSS,1800,0.0,laplace,1.5847033284206407,30.0,29.995498498672845,8.761641044984572,5,10,100000,nnantisparse,4.321200504123832,26.719848693538214,26.10056480732563,26.680782151481356,26.16878791392398
PredictiveDecorrBSS,1900,0.0,laplace,19.199503393227214,30.0,29.998929594753136,8.713799193035811,5,10,100000,nnantisparse,22.417262049144245,27.74022775956454,13.182019688767038,26.397403040765433,26.231338211900006
PredictiveDecorrBSS,2000,0.0,laplace,26.51782270751133,30.0,29.99422915265808,8.756393678952008,5,10,100000,nnantisparse,30.29447778423371,27.209576833829484,23.923405315567624,26.631013946800163,26.784664345890405
PredictiveDecorrBSS,2100,0.0,laplace,25.26760591456422,30.0,29.989175808764497,8.68132922903169,5,10,100000,nnantisparse,27.010517543403353,25.355382697711534,23.971173182360612,24.098868301577667,26.868044524789177
PredictiveDecorrBSS,2200,0.0,laplace,24.56137660457438,30.0,29.993774394539873,8.740882477955893,5,10,100000,nnantisparse,25.864815586750538,23.39542393057469,27.126984865237624,21.47795363245792,28.97367844310379
PredictiveDecorrBSS,2300,0.0,laplace,25.753166568695598,30.0,30.01707863547045,8.690076304948889,5,10,100000,nnantisparse,25.483867310942866,22.124778399418506,27.439178072024184,29.132196176384756,28.86230604382506
PredictiveDecorrBSS,2400,0.0,laplace,25.530085588084994,30.0,29.998664763515322,8.73136967397295,5,10,100000,nnantisparse,25.99603787455344,25.18389048286279,27.58016591340297,24.167157954365265,25.40817489137128
