Model,seed,rho,mixing_distribution,SINR,SNRinp_target,SNRinp_measured,execution_time,n_sources,n_mixtures,n_samples,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,2300,0.0,gaussian,25.915152350279968,30.0,30.005550224508674,15.872338264001883,5,10,100000,25.845007455936763,25.617201641509318,28.373320087035687,25.891177697127006,24.649825750061094
PredictiveDecorrBSS,2400,0.0,gaussian,25.91365399917162,30.0,30.00039109658406,15.717441797001811,5,10,100000,25.57736496567673,24.601398706119603,26.406700698019808,27.692605582967268,25.869748250690535
PredictiveDecorrBSS,2500,0.0,gaussian,25.355654006822842,30.0,30.00739410781047,15.814332609999838,5,10,100000,26.318365236635657,24.277415346178962,24.74952529832442,25.255109668983508,26.640846177762523
PredictiveDecorrBSS,2600,0.0,gaussian,27.184172746861197,30.0,30.006987668958878,15.838518522999948,5,10,100000,28.084698668149073,27.145973149844345,26.96337964101805,28.49112565531786,25.768743638526725
PredictiveDecorrBSS,2700,0.0,gaussian,24.9109025776337,30.0,29.994223624980506,15.88495469800182,5,10,100000,25.1532257352136,22.82101094736523,25.18488981665007,26.52085700002369,25.850815927480035
PredictiveDecorrBSS,2800,0.0,gaussian,25.072042441266937,30.0,29.98950606441058,15.858459237999341,5,10,100000,23.817990681043906,27.021179877294475,24.611121391755717,23.811185389793188,27.44307662420415
PredictiveDecorrBSS,2900,0.0,gaussian,23.777732925872662,30.0,30.00546896211242,16.129988949000108,5,10,100000,25.61935139586094,27.641577659147888,20.40050300533839,24.067980867890306,24.632596569292016
PredictiveDecorrBSS,0,0.0,uniform,24.915623477301448,30.0,30.012483147144348,15.973447054002463,5,10,100000,23.03653262829753,29.432833336736685,26.655003453246966,22.462878441567096,26.613930602267306
PredictiveDecorrBSS,100,0.0,uniform,24.732592493262118,30.0,30.013019232238577,15.683984354000131,5,10,100000,25.95949741485038,26.172455278614734,23.415107620648424,25.659612429924596,23.37427110019305
PredictiveDecorrBSS,200,0.0,uniform,24.431471439369652,30.0,30.009639789927274,15.657820131000335,5,10,100000,24.95519937537001,25.939311452897577,24.590349952305964,24.167570991119746,23.029820015747013
PredictiveDecorrBSS,300,0.0,uniform,25.333161923169627,30.0,29.996357505864065,15.66169979100232,5,10,100000,25.69985137734958,25.51701042778396,24.522397861905336,25.99316620156266,25.08550903054491
PredictiveDecorrBSS,400,0.0,uniform,25.45980363224829,30.0,30.01194237375339,15.690260039998975,5,10,100000,24.268733322785366,25.702691961320767,24.175695053659084,27.217851826691355,26.844485166080364
