Model,gradient_variant,seed,SNRinp_target,SNRinp_measured,SINR,execution_time,n_sources,n_mixtures,n_samples,presumed_domain,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,full,1900,25.0,24.999062029732187,23.667052067635964,15.97891405201517,5,10,100000,sparse,21.20739148734237,23.274939318263144,23.971875867584927,26.964475508985238,24.986306029654003
PredictiveDecorrBSS,truncated,2000,25.0,25.008903600885432,23.39187919547922,14.261319388984703,5,10,100000,sparse,23.0486699635123,24.69841559657595,22.982500418325703,22.61650893193082,23.93087976296838
PredictiveDecorrBSS,full,2000,25.0,25.008903600885432,23.398556672168922,15.952998617984122,5,10,100000,sparse,23.05457283677115,24.70062655169883,22.990813192652396,22.622655461733856,23.94093487494664
PredictiveDecorrBSS,truncated,2100,25.0,24.98834577444791,22.89348870620284,14.283864756987896,5,10,100000,sparse,22.6461957948953,22.88843355203096,24.162586838831338,24.513444129529113,21.11505120060199
PredictiveDecorrBSS,full,2100,25.0,24.98834577444791,22.89963416867352,15.928266236995114,5,10,100000,sparse,22.652149194716937,22.895953288907954,24.170974594341118,24.522582119591693,21.11793346170101
PredictiveDecorrBSS,truncated,2200,25.0,24.999002380431925,24.70025898731286,14.307423749996815,5,10,100000,sparse,25.868344081206324,23.934578303653844,24.512238918895385,25.81133291810925,23.807122589453044
PredictiveDecorrBSS,full,2200,25.0,24.999002380431925,24.703634318209456,15.950598437018925,5,10,100000,sparse,25.872364673868006,23.936619389663328,24.51539461514722,25.81570356199995,23.81094244628845
PredictiveDecorrBSS,truncated,2300,25.0,25.00434747909656,23.091316253263628,14.347362301021349,5,10,100000,sparse,24.593487002656712,22.029392980234984,23.71136312110444,22.382542577951,23.187284905680308
PredictiveDecorrBSS,full,2300,25.0,25.00434747909656,23.10073624768345,15.987786671001231,5,10,100000,sparse,24.597737573511907,22.040965710872598,23.722772858466424,22.395403247838694,23.19180891124072
PredictiveDecorrBSS,truncated,2400,25.0,24.99815194457359,24.93126667398363,14.256253783009015,5,10,100000,sparse,25.902822603131632,25.523042453661382,24.573870396438906,25.009862582518622,23.93763538657092
PredictiveDecorrBSS,full,2400,25.0,24.99815194457359,24.93522653632271,16.02851059101522,5,10,100000,sparse,25.908053769982352,25.53001935668352,24.57727595271995,25.0130703774265,23.939769609830304
PredictiveDecorrBSS,truncated,2500,25.0,24.988114612524885,22.91056347761954,14.311232392996317,5,10,100000,sparse,24.660082262934303,23.286728910823015,22.691651301941647,25.291386895635938,20.40553414053012
PredictiveDecorrBSS,full,2500,25.0,24.988114612524885,22.91959899743267,15.924418037000578,5,10,100000,sparse,24.675807843185503,23.298678618068248,22.69840520663477,25.306170183759008,20.41007791228866
PredictiveDecorrBSS,truncated,2600,25.0,25.01188715376607,22.741519019067013,14.237844293005764,5,10,100000,sparse,21.52057615256039,25.26922450839418,20.89591821788641,22.737107184770547,25.031844677657844
PredictiveDecorrBSS,full,2600,25.0,25.01188715376607,22.745525369555082,15.919069169991417,5,10,100000,sparse,21.52184774902561,25.278211233107694,20.899652644207766,22.740745601519315,25.038547329943523
PredictiveDecorrBSS,truncated,2700,25.0,24.992319360192354,24.44535883803581,14.23210735997418,5,10,100000,sparse,23.476552317691947,24.75059722647595,23.9045161786075,25.010674110658474,25.401776892238477
PredictiveDecorrBSS,full,2700,25.0,24.992319360192354,24.450182009265376,15.92230326202116,5,10,100000,sparse,23.479926214197032,24.752694327639723,23.90999837681393,25.01702081879687,25.40944558959337
